# x_m, y_m, w_tr_right_m, w_tr_left_m
0.00000e+00,0.00000e+00,1.10000e+00,1.10000e+00
-3.13175e+00,-3.00136e+00,1.10000e+00,1.10000e+00
-6.26312e+00,-6.00310e+00,1.10000e+00,1.10000e+00
-9.39411e+00,-9.00524e+00,1.10000e+00,1.10000e+00
-1.25247e+01,-1.20078e+01,1.10000e+00,1.10000e+00
-1.56548e+01,-1.50108e+01,1.10000e+00,1.10000e+00
-1.87845e+01,-1.80143e+01,1.10000e+00,1.10000e+00
-2.19138e+01,-2.10183e+01,1.10000e+00,1.10000e+00
-2.50425e+01,-2.40228e+01,1.10000e+00,1.10000e+00
-2.81708e+01,-2.70278e+01,1.10000e+00,1.10000e+00
-3.12985e+01,-3.00334e+01,1.10000e+00,1.10000e+00
-3.44257e+01,-3.30395e+01,1.10000e+00,1.10000e+00
-3.75524e+01,-3.60463e+01,1.10000e+00,1.10000e+00
-4.06784e+01,-3.90537e+01,1.10000e+00,1.10000e+00
-4.38039e+01,-4.20617e+01,1.10000e+00,1.10000e+00
-4.69288e+01,-4.50704e+01,1.10000e+00,1.10000e+00
-5.00530e+01,-4.80798e+01,1.10000e+00,1.10000e+00
-5.31766e+01,-5.10899e+01,1.10000e+00,1.10000e+00
-5.62995e+01,-5.41007e+01,1.10000e+00,1.10000e+00
-5.94217e+01,-5.71123e+01,1.10000e+00,1.10000e+00
-6.25432e+01,-6.01246e+01,1.10000e+00,1.10000e+00
-6.56640e+01,-6.31378e+01,1.10000e+00,1.10000e+00
-6.87840e+01,-6.61518e+01,1.10000e+00,1.10000e+00
-7.19033e+01,-6.91666e+01,1.10000e+00,1.10000e+00
-7.50218e+01,-7.21823e+01,1.10000e+00,1.10000e+00
-7.81395e+01,-7.51988e+01,1.10000e+00,1.10000e+00
-8.12564e+01,-7.82163e+01,1.10000e+00,1.10000e+00
-8.43725e+01,-8.12347e+01,1.10000e+00,1.10000e+00
-8.74877e+01,-8.42541e+01,1.10000e+00,1.10000e+00
-9.06020e+01,-8.72745e+01,1.10000e+00,1.10000e+00
-9.37156e+01,-9.02956e+01,1.10000e+00,1.10000e+00
-9.68298e+01,-9.33161e+01,1.10000e+00,1.10000e+00
-9.99459e+01,-9.63345e+01,1.10000e+00,1.10000e+00
-1.03065e+02,-9.93492e+01,1.10000e+00,1.10000e+00
-1.06190e+02,-1.02358e+02,1.10000e+00,1.10000e+00
-1.09320e+02,-1.05361e+02,1.10000e+00,1.10000e+00
-1.12458e+02,-1.08355e+02,1.10000e+00,1.10000e+00
-1.15606e+02,-1.11338e+02,1.10000e+00,1.10000e+00
-1.18764e+02,-1.14310e+02,1.10000e+00,1.10000e+00
-1.21934e+02,-1.17269e+02,1.10000e+00,1.10000e+00
-1.25118e+02,-1.20212e+02,1.10000e+00,1.10000e+00
-1.28316e+02,-1.23139e+02,1.10000e+00,1.10000e+00
-1.31531e+02,-1.26048e+02,1.10000e+00,1.10000e+00
-1.34764e+02,-1.28937e+02,1.10000e+00,1.10000e+00
-1.38016e+02,-1.31804e+02,1.10000e+00,1.10000e+00
-1.41289e+02,-1.34649e+02,1.10000e+00,1.10000e+00
-1.44583e+02,-1.37469e+02,1.10000e+00,1.10000e+00
-1.47900e+02,-1.40265e+02,1.10000e+00,1.10000e+00
-1.51237e+02,-1.43036e+02,1.10000e+00,1.10000e+00
-1.54596e+02,-1.45782e+02,1.10000e+00,1.10000e+00
-1.57976e+02,-1.48504e+02,1.10000e+00,1.10000e+00
-1.61375e+02,-1.51200e+02,1.10000e+00,1.10000e+00
-1.64795e+02,-1.53873e+02,1.10000e+00,1.10000e+00
-1.68233e+02,-1.56520e+02,1.10000e+00,1.10000e+00
-1.71691e+02,-1.59143e+02,1.10000e+00,1.10000e+00
-1.75167e+02,-1.61741e+02,1.10000e+00,1.10000e+00
-1.78662e+02,-1.64314e+02,1.10000e+00,1.10000e+00
-1.82174e+02,-1.66863e+02,1.10000e+00,1.10000e+00
-1.85704e+02,-1.69387e+02,1.10000e+00,1.10000e+00
-1.89251e+02,-1.71886e+02,1.10000e+00,1.10000e+00
-1.92814e+02,-1.74360e+02,1.10000e+00,1.10000e+00
-1.96394e+02,-1.76810e+02,1.10000e+00,1.10000e+00
-1.99989e+02,-1.79234e+02,1.10000e+00,1.10000e+00
-2.03602e+02,-1.81631e+02,1.10000e+00,1.10000e+00
-2.07233e+02,-1.83998e+02,1.10000e+00,1.10000e+00
-2.10884e+02,-1.86331e+02,1.10000e+00,1.10000e+00
-2.14556e+02,-1.88629e+02,1.10000e+00,1.10000e+00
-2.18251e+02,-1.90888e+02,1.10000e+00,1.10000e+00
-2.21969e+02,-1.93106e+02,1.10000e+00,1.10000e+00
-2.25712e+02,-1.95279e+02,1.10000e+00,1.10000e+00
-2.29481e+02,-1.97408e+02,1.10000e+00,1.10000e+00
-2.33261e+02,-1.99524e+02,1.10000e+00,1.10000e+00
-2.37028e+02,-2.01686e+02,1.10000e+00,1.10000e+00
-2.40756e+02,-2.03953e+02,1.10000e+00,1.10000e+00
-2.44425e+02,-2.06371e+02,1.10000e+00,1.10000e+00
-2.48085e+02,-2.08791e+02,1.10000e+00,1.10000e+00
-2.51841e+02,-2.10917e+02,1.10000e+00,1.10000e+00
-2.55801e+02,-2.12447e+02,1.10000e+00,1.10000e+00
-2.60051e+02,-2.13089e+02,1.10000e+00,1.10000e+00
